_date,total_clones,unique_clones
2021-01-18,2,2
2021-01-19,6,5
2021-01-20,4,4
2021-01-21,5,3
2021-01-22,6,6
2021-01-23,4,4
2021-01-24,1,1
2021-01-25,7,4
2021-01-26,12,6
2021-01-27,2,2
2021-01-28,6,4
2021-01-29,3,3
2021-01-30,2,2
2021-01-31,5,3
